"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","responses","block","stim_onset","match_type","image_category","sound_category","audio_type","phase","correct"
"3389.2200000118464","<p>Use KEYBOARD 2 (match LEFT)</p><p>Press MATCH to continue.</p>","65","html-keyboard-response","0","3391","0.0-0.0","longtest","","","","","","","","",""
"8982.164999993984","","","survey-text","1","12379","0.0-1.0","longtest","{""Q0"":""longtest""}","","","","","","","",""
"2199.0249999944353","<p>Thank you for agreeing to participate in this study.</p><p>If during any part of the procedure you must stop for any reason, please inform the researcher that you do not wish to continue.</p>","13","html-keyboard-response","2","14582","0.0-2.0","longtest","","","","","","","","",""
"1078.1850000057602","<p>In this experiment, you will hear various words or sounds and see pictures of various animals and objects.</p><p>Most of the images will be of common everyday objects, such as cars, cats, cows, firearms, frogs, chickens, whistles, trains, motorcycles, and dogs.</p><p>Some of the images will be real-life stills, while others will be cartoons.</p>","13","html-keyboard-response","3","15662","0.0-3.0","longtest","","","","","","","","",""
"407.3950000019977","<p>Sometimes, the word/sound will match the picture, for example you'll hear a meowing sound and see a cat.</p><p>Other times, the picture will not match the sound or word.</p><p>Your task is to decide as quickly as possible if the word/sound matches the picture or not. </p>","13","html-keyboard-response","4","16070","0.0-4.0","longtest","","","","","","","","",""
"351.0799999930896","<p>For example, if you hear the word ""cat"" or hear a meowing sound, and then see a picture of a cat, you should press the MATCH key.</p><p> If the sound and image do not match, press NON-MATCH.</p><p> Either key can be used to continue the experiment.</p><p> If you make a mistake, you will hear a buzzing sound.</p><p> Try to respond as quickly as possible, while making as few errors as possible. If you are making mistakes, you are probably rushing.</p>","13","html-keyboard-response","5","16422","0.0-5.0","longtest","","","","","","","","",""
"575.5300000018906","<p>During the experiment there will be some breaks during which you can rest your eyes.</p>","13","html-keyboard-response","6","16998","0.0-6.0","longtest","","","","","","","","",""
"375.1100000081351","<p>We will begin with 10 practice trials. Please let the experimenter know if you have any questions.</p>","13","html-keyboard-response","7","17374","0.0-7.0","longtest","","","","","","","","",""
"null","Sounds/cow_label.wav","null","audio-keyboard-response","8","18387","0.0-8.0-0.0","longtest","","0","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","9","19396","0.0-8.0-1.0","longtest","","0","","","","","","",""
"null","Images/frog_3.png","null","image-keyboard-response","10","19649","0.0-8.0-2.0","longtest","","0","1580682366550","non-match","frog","cow","label","practice","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","11","21653","0.0-8.0-3.0","longtest","","0","","","","","","",""
"null","Sounds/rooster_sound.wav","null","audio-keyboard-response","12","22347","0.0-8.0-0.1","longtest","","0","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","13","23346","0.0-8.0-1.1","longtest","","0","","","","","","",""
"null","Images/cat_3.png","null","image-keyboard-response","14","23599","0.0-8.0-2.1","longtest","","0","1580682370500","non-match","cat","rooster","sound","practice","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","15","25606","0.0-8.0-3.1","longtest","","0","","","","","","",""
"null","Sounds/cat_label.wav","null","audio-keyboard-response","16","26427","0.0-8.0-0.2","longtest","","0","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","17","27430","0.0-8.0-1.2","longtest","","0","","","","","","",""
"null","Images/car_orig.png","null","image-keyboard-response","18","27684","0.0-8.0-2.2","longtest","","0","1580682374583","non-match","car","cat","label","practice","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","19","29699","0.0-8.0-3.2","longtest","","0","","","","","","",""
"null","Sounds/cat_sound.wav","null","audio-keyboard-response","20","30527","0.0-8.0-0.3","longtest","","0","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","21","31530","0.0-8.0-1.3","longtest","","0","","","","","","",""
"null","Images/motorcycle_3.png","null","image-keyboard-response","22","31782","0.0-8.0-2.3","longtest","","0","1580682378683","non-match","motorcycle","cat","sound","practice","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","23","33799","0.0-8.0-3.3","longtest","","0","","","","","","",""
"null","Sounds/frog_label.wav","null","audio-keyboard-response","24","34707","0.0-8.0-0.4","longtest","","0","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","25","35713","0.0-8.0-1.4","longtest","","0","","","","","","",""
"null","Images/frog_cartoon.png","null","image-keyboard-response","26","35966","0.0-8.0-2.4","longtest","","0","1580682382866","match","frog","frog","label","practice","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","27","37971","0.0-8.0-3.4","longtest","","0","","","","","","",""
"null","Sounds/car_label.wav","null","audio-keyboard-response","28","39047","0.0-8.0-0.5","longtest","","0","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","29","40047","0.0-8.0-1.5","longtest","","0","","","","","","",""
"null","Images/car_1.png","null","image-keyboard-response","30","40300","0.0-8.0-2.5","longtest","","0","1580682387200","match","car","car","label","practice","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","31","42318","0.0-8.0-3.5","longtest","","0","","","","","","",""
"null","Sounds/train_sound.wav","null","audio-keyboard-response","32","43607","0.0-8.0-0.6","longtest","","0","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","33","44613","0.0-8.0-1.6","longtest","","0","","","","","","",""
"null","Images/rooster_2.png","null","image-keyboard-response","34","44866","0.0-8.0-2.6","longtest","","0","1580682391766","non-match","rooster","train","sound","practice","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","35","46869","0.0-8.0-3.6","longtest","","0","","","","","","",""
"null","Sounds/car_sound.wav","null","audio-keyboard-response","36","47947","0.0-8.0-0.7","longtest","","0","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","37","48947","0.0-8.0-1.7","longtest","","0","","","","","","",""
"null","Images/car_3.png","null","image-keyboard-response","38","49200","0.0-8.0-2.7","longtest","","0","1580682396100","match","car","car","sound","practice","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","39","51219","0.0-8.0-3.7","longtest","","0","","","","","","",""
"null","Sounds/cat_sound.wav","null","audio-keyboard-response","40","52047","0.0-8.0-0.8","longtest","","0","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","41","53047","0.0-8.0-1.8","longtest","","0","","","","","","",""
"null","Images/dog_cartoon.png","null","image-keyboard-response","42","53301","0.0-8.0-2.8","longtest","","0","1580682400201","non-match","dog","cat","sound","practice","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","43","55316","0.0-8.0-3.8","longtest","","0","","","","","","",""
"null","Sounds/rooster_sound.wav","null","audio-keyboard-response","44","56008","0.0-8.0-0.9","longtest","","0","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","45","57014","0.0-8.0-1.9","longtest","","0","","","","","","",""
"null","Images/cow_2.png","null","image-keyboard-response","46","57267","0.0-8.0-2.9","longtest","","0","1580682404167","non-match","cow","rooster","sound","practice","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","47","59271","0.0-8.0-3.9","longtest","","0","","","","","","",""
"1686.7249999922933","<p>The rest of the experiment is divided into five blocks with 100 trials in each block. It will take about 45 minutes to complete.</p>","13","html-keyboard-response","48","60959","0.0-9.0","longtest","","","","","","","","",""
"655.045000006794","<p>Remember, please do not to move or blink your eyes during the presentation of the images. </p><p>At the end of the experiment, we will show you your scores on the task so you can see how you did.</p><p>The experiment will start on the next screen.</p>","13","html-keyboard-response","49","61615","0.0-10.0","longtest","","","","","","","","",""
"null","Sounds/rooster_sound.wav","null","audio-keyboard-response","50","64287","0.0-11.0-0.0","longtest","","1","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","51","65298","0.0-11.0-1.0","longtest","","1","","","","","","",""
"null","Images/rooster_1.png","null","image-keyboard-response","52","65550","0.0-11.0-2.0","longtest","","1","1580682412451","match","rooster","rooster","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","53","67555","0.0-11.0-3.0","longtest","","1","","","","","","",""
"null","Sounds/motorcycle_label.wav","null","audio-keyboard-response","54","68688","0.0-11.0-0.1","longtest","","1","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","55","69698","0.0-11.0-1.1","longtest","","1","","","","","","",""
"null","Images/dog_1.png","null","image-keyboard-response","56","69965","0.0-11.0-2.1","longtest","","1","1580682416851","non-match","dog","motorcycle","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","57","71972","0.0-11.0-3.1","longtest","","1","","","","","","",""
"null","Sounds/gun_sound.wav","null","audio-keyboard-response","58","72548","0.0-11.0-0.2","longtest","","1","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","59","73548","0.0-11.0-1.2","longtest","","1","","","","","","",""
"null","Images/gun_3.png","null","image-keyboard-response","60","73801","0.0-11.0-2.2","longtest","","1","1580682420701","match","gun","gun","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","61","75817","0.0-11.0-3.2","longtest","","1","","","","","","",""
"null","Sounds/rooster_sound.wav","null","audio-keyboard-response","62","76487","0.0-11.0-0.3","longtest","","1","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","63","77498","0.0-11.0-1.3","longtest","","1","","","","","","",""
"null","Images/rooster_3.png","null","image-keyboard-response","64","77764","0.0-11.0-2.3","longtest","","1","1580682424651","match","rooster","rooster","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","65","79770","0.0-11.0-3.3","longtest","","1","","","","","","",""
"null","Sounds/car_sound.wav","null","audio-keyboard-response","66","80847","0.0-11.0-0.4","longtest","","1","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","67","81848","0.0-11.0-1.4","longtest","","1","","","","","","",""
"null","Images/cat_3.png","null","image-keyboard-response","68","82100","0.0-11.0-2.4","longtest","","1","1580682429001","non-match","cat","car","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","69","84120","0.0-11.0-3.4","longtest","","1","","","","","","",""
"null","Sounds/whistle_label.wav","null","audio-keyboard-response","70","84827","0.0-11.0-0.5","longtest","","1","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","71","85831","0.0-11.0-1.5","longtest","","1","","","","","","",""
"null","Images/car_3.png","null","image-keyboard-response","72","86085","0.0-11.0-2.5","longtest","","1","1580682432984","non-match","car","whistle","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","73","88089","0.0-11.0-3.5","longtest","","1","","","","","","",""
"null","Sounds/train_label.wav","null","audio-keyboard-response","74","89368","0.0-11.0-0.6","longtest","","1","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","75","90364","0.0-11.0-1.6","longtest","","1","","","","","","",""
"null","Images/train_2.png","null","image-keyboard-response","76","90618","0.0-11.0-2.6","longtest","","1","1580682437518","match","train","train","label","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","77","92620","0.0-11.0-3.6","longtest","","1","","","","","","",""
"null","Sounds/cow_sound.wav","null","audio-keyboard-response","78","93647","0.0-11.0-0.7","longtest","","1","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","79","94648","0.0-11.0-1.7","longtest","","1","","","","","","",""
"null","Images/motorcycle_3.png","null","image-keyboard-response","80","94901","0.0-11.0-2.7","longtest","","1","1580682441801","non-match","motorcycle","cow","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","81","96917","0.0-11.0-3.7","longtest","","1","","","","","","",""
"null","Sounds/whistle_sound.wav","null","audio-keyboard-response","82","97607","0.0-11.0-0.8","longtest","","1","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","83","98615","0.0-11.0-1.8","longtest","","1","","","","","","",""
"null","Images/dog_orig.png","null","image-keyboard-response","84","98867","0.0-11.0-2.8","longtest","","1","1580682445768","non-match","dog","whistle","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","85","100884","0.0-11.0-3.8","longtest","","1","","","","","","",""
"null","Sounds/frog_sound.wav","null","audio-keyboard-response","86","101787","0.0-11.0-0.9","longtest","","1","","","","","","",""
"null","<p style=""font-size: 48px;"">+</p>","null","html-keyboard-response","87","102798","0.0-11.0-1.9","longtest","","1","","","","","","",""
"null","Images/cat_orig.png","null","image-keyboard-response","88","103051","0.0-11.0-2.9","longtest","","1","1580682449954","non-match","cat","frog","sound","test","false"
"null","Sounds/incorrect.wav","null","audio-keyboard-response","89","105054","0.0-11.0-3.9","longtest","","1","","","","","","",""
