"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","match_key","participant_id","stimulus","key_press","block","stim_onset","match_type","image_category","sound_category","audio_type","phase","correct"
"10992.299999983516","{""Q0"":""22""}","survey-text","0","11030","0.0-0.0","l","22","","","","","","","","","",""
"26687.045000027865","","html-keyboard-response","1","37730","0.0-1.0","l","22","<p>Use KEYBOARD 1 (match RIGHT)</p><p>Press MATCH to continue.</p>","76","","","","","","","",""
"2153645.65999998","","html-keyboard-response","2","2190600","0.0-2.0","l","22","<p>Welcome to the experiment.</p>","32","","","","","","","",""
"25737.244999967515","","html-keyboard-response","3","2216343","0.0-3.0","l","22","<p>Thank you for agreeing to participate in this study.</p><p>If during any part of the procedure you must stop for any reason, please inform the researcher that you do not wish to continue.</p>","32","","","","","","","",""
"24494.96000004001","","html-keyboard-response","4","2240839","0.0-4.0","l","22","<p>In this experiment, you will hear various words or sounds and see pictures of various animals and objects.</p><p>Most of the images will be of common everyday objects, such as cars, cats, cows, firearms, frogs, chickens, whistles, trains, motorcycles, and dogs.</p><p>Some of the images will be real-life stills, while others will be cartoons.</p>","32","","","","","","","",""
"19023.350000032224","","html-keyboard-response","5","2259864","0.0-5.0","l","22","<p>Sometimes, the word/sound will match the picture, for example you'll hear a meowing sound and see a cat.</p><p>Other times, the picture will not match the sound or word.</p><p>Your task is to decide as quickly as possible if the word/sound matches the picture or not. </p>","32","","","","","","","",""
"14334.224999998696","","html-keyboard-response","6","2274199","0.0-6.0","l","22","<p>For example, if you hear the word ""cat"" or hear a meowing sound, and then see a picture of a cat, you should press the MATCH key.</p><p> If the sound and image do not match, press the NOT-MATCH key to indicate that there is not a match.</p>","32","","","","","","","",""
"14702.864999999292","","html-keyboard-response","7","2288903","0.0-7.0","l","22","<p>If you make a mistake, you will hear a buzzing sound instead of a more pleasant sound.</p><p> Try to respond as quickly as possible, while making as few errors as possible. If you are making mistakes, you are probably rushing.</p>","32","","","","","","","",""
"14783.220000041183","","html-keyboard-response","8","2303676","0.0-8.0","l","22","<p>Please try to not move or blink your eyes during the presentation of the images. You can move and blink between images.</p><p>During the experiment there will be some breaks during which you can rest your eyes.</p>","32","","","","","","","",""
"6446.215000003576","","html-keyboard-response","9","2310123","0.0-9.0","l","22","<p>We will begin with 10 practice trials. Please let the experimenter know if you have any questions.</p>","32","","","","","","","",""
"null","","audio-keyboard-response","10","2311485","0.0-10.0-0.0","l","22","Sounds/train_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","11","2312476","0.0-10.0-1.0","l","22","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"1293.2250000303611","","image-keyboard-response","12","2313771","0.0-10.0-2.0","l","22","Images/train_1.png","76","0","1582300065633","match","train","train","label","practice","true"
"null","","audio-keyboard-response","13","2315788","0.0-10.0-3.0","l","22","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","14","2316365","0.0-10.0-0.1","l","22","Sounds/gun_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","15","2317359","0.0-10.0-1.1","l","22","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"19114.6749999607","","image-keyboard-response","16","2336475","0.0-10.0-2.1","l","22","Images/motorcycle_1.png","76","0","1582300070516","non-match","motorcycle","gun","sound","practice","false"
"null","","audio-keyboard-response","17","2338487","0.0-10.0-3.1","l","22","Sounds/incorrect.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","18","2339318","0.0-10.0-0.2","l","22","Sounds/cat_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","19","2340309","0.0-10.0-1.2","l","22","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"1140.4050000128336","","image-keyboard-response","20","2341451","0.0-10.0-2.2","l","22","Images/frog_orig.png","65","0","1582300093467","non-match","frog","cat","sound","practice","true"
"null","","audio-keyboard-response","21","2343463","0.0-10.0-3.2","l","22","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","22","2344478","0.0-10.0-0.3","l","22","Sounds/cow_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","23","2345476","0.0-10.0-1.3","l","22","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"757.4350000359118","","image-keyboard-response","24","2346235","0.0-10.0-2.3","l","22","Images/train_cartoon.png","65","0","1582300098633","non-match","train","cow","label","practice","true"
"null","","audio-keyboard-response","25","2348247","0.0-10.0-3.3","l","22","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","26","2348938","0.0-10.0-0.4","l","22","Sounds/rooster_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","27","2349943","0.0-10.0-1.4","l","22","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"498.77499998547137","","image-keyboard-response","28","2350443","0.0-10.0-2.4","l","22","Images/car_3.png","65","0","1582300103100","non-match","car","rooster","label","practice","true"
"null","","audio-keyboard-response","29","2352448","0.0-10.0-3.4","l","22","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","30","2353518","0.0-10.0-0.5","l","22","Sounds/car_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","31","2354510","0.0-10.0-1.5","l","22","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"635.9299999894574","","image-keyboard-response","32","2355147","0.0-10.0-2.5","l","22","Images/car_1.png","76","0","1582300107667","match","car","car","sound","practice","true"
"null","","audio-keyboard-response","33","2357150","0.0-10.0-3.5","l","22","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","34","2357838","0.0-10.0-0.6","l","22","Sounds/whistle_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","35","2358843","0.0-10.0-1.6","l","22","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"878.4899999736808","","image-keyboard-response","36","2359723","0.0-10.0-2.6","l","22","Images/cat_2.png","65","0","1582300112000","non-match","cat","whistle","sound","practice","true"
"null","","audio-keyboard-response","37","2361733","0.0-10.0-3.6","l","22","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","38","2362758","0.0-10.0-0.7","l","22","Sounds/cow_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","39","2363788","0.0-10.0-1.7","l","22","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"729.7450000187382","","image-keyboard-response","40","2364519","0.0-10.0-2.7","l","22","Images/cow_cartoon.png","76","0","1582300116946","match","cow","cow","sound","practice","true"
"null","","audio-keyboard-response","41","2366527","0.0-10.0-3.7","l","22","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","42","2367230","0.0-10.0-0.8","l","22","Sounds/dog_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","43","2368222","0.0-10.0-1.8","l","22","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"472.01500000664964","","image-keyboard-response","44","2368695","0.0-10.0-2.8","l","22","Images/dog_2.png","76","0","1582300121379","match","dog","dog","sound","practice","true"
"null","","audio-keyboard-response","45","2370711","0.0-10.0-3.8","l","22","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","46","2371790","0.0-10.0-0.9","l","22","Sounds/car_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","47","2372789","0.0-10.0-1.9","l","22","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"513.2449999800883","","image-keyboard-response","48","2373303","0.0-10.0-2.9","l","22","Images/car_3.png","76","0","1582300125945","match","car","car","label","practice","true"
"null","","audio-keyboard-response","49","2375311","0.0-10.0-3.9","l","22","Sounds/correct.wav","null","0","","","","","","",""
"64888.09999998193","","html-keyboard-response","50","2440199","0.0-11.0","l","22","<p>The rest of the experiment is divided into five blocks with 100 trials in each block. It will take about 45 minutes to complete.</p><p>The experimenter will be in the outer room and you can communicate with them through the monitor if you have any questions or wish to stop the experiment.</p>","32","","","","","","","",""
"5165.960000013001","","html-keyboard-response","51","2445366","0.0-12.0","l","22","<p>Remember, please try not to move or blink your eyes during the presentation of the images. </p><p>At the end of the experiment, we will show you your scores on the task so you can see how you did.</p><p>The experiment will start on the next screen.</p>","32","","","","","","","",""
