"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","match_key","participant_id","stimulus","key_press","block","stim_onset","match_type","image_category","sound_category","audio_type","phase","correct"
"32888.5200000077","{""Q0"":""cogs219_2020_39""}","survey-text","0","32953","0.0-0.0","l","cogs219_2020_39","","","","","","","","","",""
"28153.67500000866","","html-keyboard-response","1","61122","0.0-1.0","l","cogs219_2020_39","<p>Use KEYBOARD 1 (match RIGHT)</p><p>Press MATCH to continue.</p>","76","","","","","","","",""
"2348531.3349999776","","html-keyboard-response","2","2408568","0.0-2.0","l","cogs219_2020_39","<p>Welcome to the experiment.</p>","39","","","","","","","",""
"7481.2099999981","","html-keyboard-response","3","2416055","0.0-3.0","l","cogs219_2020_39","<p>Thank you for agreeing to participate in this study.</p><p>If during any part of the procedure you must stop for any reason, please inform the researcher that you do not wish to continue.</p>","39","","","","","","","",""
"15951.549999997951","","html-keyboard-response","4","2432007","0.0-4.0","l","cogs219_2020_39","<p>In this experiment, you will hear various words or sounds and see pictures of various animals and objects.</p><p>Most of the images will be of common everyday objects, such as cars, cats, cows, firearms, frogs, chickens, whistles, trains, motorcycles, and dogs.</p><p>Some of the images will be real-life stills, while others will be cartoons.</p>","39","","","","","","","",""
"12030.440000002272","","html-keyboard-response","5","2444027","0.0-5.0","l","cogs219_2020_39","<p>Sometimes, the word/sound will match the picture, for example you'll hear a meowing sound and see a cat.</p><p>Other times, the picture will not match the sound or word.</p><p>Your task is to decide as quickly as possible if the word/sound matches the picture or not. </p>","39","","","","","","","",""
"12975.050000008196","","html-keyboard-response","6","2457003","0.0-6.0","l","cogs219_2020_39","<p>For example, if you hear the word ""cat"" or hear a meowing sound, and then see a picture of a cat, you should press the MATCH key.</p><p> If the sound and image do not match, press the NOT-MATCH key to indicate that there is not a match.</p>","39","","","","","","","",""
"11118.32000000868","","html-keyboard-response","7","2468126","0.0-7.0","l","cogs219_2020_39","<p>If you make a mistake, you will hear a buzzing sound instead of a more pleasant sound.</p><p> Try to respond as quickly as possible, while making as few errors as possible. If you are making mistakes, you are probably rushing.</p>","39","","","","","","","",""
"16299.199999979232","","html-keyboard-response","8","2484426","0.0-8.0","l","cogs219_2020_39","<p>Please try to not move or blink your eyes during the presentation of the images. You can move and blink between images.</p><p>During the experiment there will be some breaks during which you can rest your eyes.</p>","39","","","","","","","",""
"17167.435000009835","","html-keyboard-response","9","2501595","0.0-9.0","l","cogs219_2020_39","<p>We will begin with 10 practice trials. Please let the experimenter know if you have any questions.</p>","39","","","","","","","",""
"null","","audio-keyboard-response","10","2502583","0.0-10.0-0.0","l","cogs219_2020_39","Sounds/frog_label.wav","null","0","","","","","","",""
"null","","html-keyboard-response","11","2503575","0.0-10.0-1.0","l","cogs219_2020_39","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
"5985.420000011567","","image-keyboard-response","12","2509575","0.0-10.0-2.0","l","cogs219_2020_39","Images/frog_1.png","76","0","1583250380714","match","frog","frog","label","practice","true"
"null","","audio-keyboard-response","13","2511580","0.0-10.0-3.0","l","cogs219_2020_39","Sounds/correct.wav","null","0","","","","","","",""
"null","","audio-keyboard-response","14","2512275","0.0-10.0-0.1","l","cogs219_2020_39","Sounds/rooster_sound.wav","null","0","","","","","","",""
"null","","html-keyboard-response","15","2513271","0.0-10.0-1.1","l","cogs219_2020_39","<p style=""font-size: 48px;"">+</p>","null","0","","","","","","",""
