subject,congruence,audio,N
01,match,label,90
01,match,sound,90
01,non-match,label,98
01,non-match,sound,96
02,match,label,82
02,match,sound,89
02,non-match,label,91
02,non-match,sound,94
03,match,label,101
03,match,sound,103
03,non-match,label,103
03,non-match,sound,97
05,match,label,120
05,match,sound,120
05,non-match,label,115
05,non-match,sound,122
06,match,label,72
06,match,sound,72
06,non-match,label,92
06,non-match,sound,94
07,match,label,105
07,match,sound,109
07,non-match,label,113
07,non-match,sound,112
08,match,label,106
08,match,sound,109
08,non-match,label,110
08,non-match,sound,117
09,match,label,123
09,match,sound,122
09,non-match,label,117
09,non-match,sound,118
10,match,label,49
10,match,sound,60
10,non-match,label,48
10,non-match,sound,56
11,match,label,116
11,match,sound,114
11,non-match,label,120
11,non-match,sound,118
12,match,label,114
12,match,sound,117
12,non-match,label,118
12,non-match,sound,119
15,match,label,91
15,match,sound,87
15,non-match,label,97
15,non-match,sound,98
16,match,label,80
16,match,sound,82
16,non-match,label,94
16,non-match,sound,84
17,match,label,91
17,match,sound,94
17,non-match,label,98
17,non-match,sound,83
18,match,label,104
18,match,sound,111
18,non-match,label,110
18,non-match,sound,108
19,match,label,80
19,match,sound,71
19,non-match,label,79
19,non-match,sound,75
20,match,label,106
20,match,sound,104
20,non-match,label,108
20,non-match,sound,97
21,match,label,122
21,match,sound,115
21,non-match,label,120
21,non-match,sound,115
22,match,label,119
22,match,sound,119
22,non-match,label,117
22,non-match,sound,118
24,match,label,83
24,match,sound,86
24,non-match,label,91
24,non-match,sound,86
25,match,label,119
25,match,sound,122
25,non-match,label,122
25,non-match,sound,121
26,match,label,110
26,match,sound,107
26,non-match,label,116
26,non-match,sound,99
27,match,label,98
27,match,sound,85
27,non-match,label,103
27,non-match,sound,101
28,match,label,99
28,match,sound,100
28,non-match,label,92
28,non-match,sound,93
29,match,label,121
29,match,sound,121
29,non-match,label,118
29,non-match,sound,121
30,match,label,59
30,match,sound,54
30,non-match,label,57
30,non-match,sound,60
33,match,label,120
33,match,sound,119
33,non-match,label,118
33,non-match,sound,124
34,match,label,75
34,match,sound,62
34,non-match,label,76
34,non-match,sound,70
35,match,label,97
35,match,sound,92
35,non-match,label,102
35,non-match,sound,91
36,match,label,71
36,match,sound,85
36,non-match,label,76
36,non-match,sound,92
37,match,label,119
37,match,sound,117
37,non-match,label,119
37,non-match,sound,122
38,match,label,119
38,match,sound,117
38,non-match,label,116
38,non-match,sound,116
39,match,label,91
39,match,sound,95
39,non-match,label,98
39,non-match,sound,104
40,match,label,120
40,match,sound,119
40,non-match,label,124
40,non-match,sound,122
41,match,label,109
41,match,sound,110
41,non-match,label,118
41,non-match,sound,111
